timestamp;implementation;target_tps;duration_s;sent;received;errors;achieved_tps;p50_ms;p95_ms;p99_ms;max_ms
2026-07-30T10:44:42+02:00;xv5;50;10;490;490;0;48.92;8.86;12.4;15.75;23.31
2026-07-30T10:45:04+02:00;xv5;100;10;957;957;0;95.67;10.82;63.57;96.47;123.84
2026-07-30T10:45:33+02:00;xv6java;50;10;477;477;0;47.65;21.45;225.54;392.65;456.26
2026-07-30T10:46:01+02:00;xv6java;100;10;907;907;0;90.6;3329.78;3989.78;4054.65;4089.82
2026-07-30T10:46:54+02:00;xv7cpp;100;10;971;971;0;97.01;0.88;1.32;1.67;10.04
